season,round,race_name,circuit_id,circuit_name,date
2020,9,Tuscan Grand Prix,mugello,Autodromo Internazionale del Mugello,2020-09-13
2020,10,Russian Grand Prix,sochi,Sochi Autodrom,2020-09-27
2020,11,Eifel Grand Prix,nurburgring,Nürburgring,2020-10-11
2020,12,Portuguese Grand Prix,portimao,Autódromo Internacional do Algarve,2020-10-25
2020,13,Emilia Romagna Grand Prix,imola,Autodromo Enzo e Dino Ferrari,2020-11-01
2020,14,Turkish Grand Prix,istanbul,Istanbul Park,2020-11-15
2020,15,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2020-11-29
2020,16,Sakhir Grand Prix,bahrain,Bahrain International Circuit,2020-12-06
2020,17,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2020-12-13
2021,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2021-03-28
2021,2,Emilia Romagna Grand Prix,imola,Autodromo Enzo e Dino Ferrari,2021-04-18
2021,3,Portuguese Grand Prix,portimao,Autódromo Internacional do Algarve,2021-05-02
2021,4,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2021-05-09
2021,5,Monaco Grand Prix,monaco,Circuit de Monaco,2021-05-23
2021,6,Azerbaijan Grand Prix,baku,Baku City Circuit,2021-06-06
2021,7,French Grand Prix,ricard,Circuit Paul Ricard,2021-06-20
2021,8,Styrian Grand Prix,red_bull_ring,Red Bull Ring,2021-06-27
2021,9,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2021-07-04
2021,10,British Grand Prix,silverstone,Silverstone Circuit,2021-07-18
2021,11,Hungarian Grand Prix,hungaroring,Hungaroring,2021-08-01
2021,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2021-08-29
2021,13,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,2021-09-05
2021,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2021-09-12
2021,15,Russian Grand Prix,sochi,Sochi Autodrom,2021-09-26
2021,16,Turkish Grand Prix,istanbul,Istanbul Park,2021-10-10
2021,17,United States Grand Prix,americas,Circuit of the Americas,2021-10-24
2021,18,Mexico City Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,2021-11-07
2021,19,São Paulo Grand Prix,interlagos,Autódromo José Carlos Pace,2021-11-14
2021,20,Qatar Grand Prix,losail,Losail International Circuit,2021-11-21
2021,21,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,2021-12-05
2021,22,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2021-12-12
2022,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2022-03-20
2022,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,2022-03-27
2022,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2022-04-10
2022,4,Emilia Romagna Grand Prix,imola,Autodromo Enzo e Dino Ferrari,2022-04-24
2022,5,Miami Grand Prix,miami,Miami International Autodrome,2022-05-08
2022,6,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2022-05-22
2022,7,Monaco Grand Prix,monaco,Circuit de Monaco,2022-05-29
2022,8,Azerbaijan Grand Prix,baku,Baku City Circuit,2022-06-12
2022,9,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2022-06-19
2022,10,British Grand Prix,silverstone,Silverstone Circuit,2022-07-03
2022,11,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2022-07-10
2022,12,French Grand Prix,ricard,Circuit Paul Ricard,2022-07-24
2022,13,Hungarian Grand Prix,hungaroring,Hungaroring,2022-07-31
2022,14,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2022-08-28
2022,15,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,2022-09-04
2022,16,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2022-09-11
2022,17,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2022-10-02
2022,18,Japanese Grand Prix,suzuka,Suzuka Circuit,2022-10-09
2022,19,United States Grand Prix,americas,Circuit of the Americas,2022-10-23
2022,20,Mexico City Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,2022-10-30
2022,21,São Paulo Grand Prix,interlagos,Autódromo José Carlos Pace,2022-11-13
2022,22,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2022-11-20
2023,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2023-03-05
2023,2,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,2023-03-19
2023,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2023-04-02
2023,4,Azerbaijan Grand Prix,baku,Baku City Circuit,2023-04-30
2023,5,Miami Grand Prix,miami,Miami International Autodrome,2023-05-07
2023,6,Monaco Grand Prix,monaco,Circuit de Monaco,2023-05-28
2023,7,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2023-06-04
2023,8,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2023-06-18
2023,9,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2023-07-02
2023,10,British Grand Prix,silverstone,Silverstone Circuit,2023-07-09
2023,11,Hungarian Grand Prix,hungaroring,Hungaroring,2023-07-23
2023,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2023-07-30
2023,13,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,2023-08-27
2023,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2023-09-03
2023,15,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2023-09-17
2023,16,Japanese Grand Prix,suzuka,Suzuka Circuit,2023-09-24
2023,17,Qatar Grand Prix,losail,Losail International Circuit,2023-10-08
2023,18,United States Grand Prix,americas,Circuit of the Americas,2023-10-22
2023,19,Mexico City Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,2023-10-29
2023,20,São Paulo Grand Prix,interlagos,Autódromo José Carlos Pace,2023-11-05
2023,21,Las Vegas Grand Prix,vegas,Las Vegas Strip Street Circuit,2023-11-19
2023,22,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2023-11-26
